gene_id,gene_name,nreg_total,resid_total,baseMean,shet,ess_hart,ess_cegv2,druggable
ENSG00000011243,AKAP8L,122,-64.6534441692475,27.17512131146814,0.04060079,False,False,False
ENSG00000011258,MBTD1,84,-85.74954606213213,20.74190454403185,0.47715698,False,False,False
ENSG00000011260,UTP18,187,-49.0298127431754,55.839586443958176,0.00731178,False,False,False
ENSG00000011275,RNF216,72,-66.46545275063974,11.73951130858379,0.03590119,False,False,False
ENSG00000011295,TTC19,272,34.752571303333895,55.85348002032468,0.00170001,False,False,False
ENSG00000011304,PTBP1,242,-53.33966027849266,105.66609487973116,0.36145731,False,False,False
ENSG00000011376,LARS2,84,-93.7621516134289,24.300541685102257,0.00554837,False,False,False
ENSG00000011405,PIK3C2A,147,-29.634397986784805,24.04771602953253,0.04074708,False,False,False
ENSG00000011422,PLAUR,185,87.93228721357173,5.498803565154816,0.00103874,False,False,False
ENSG00000011426,ANLN,244,32.56642203127929,39.6348803918452,0.04595686,False,False,False
ENSG00000011451,WIZ,176,-63.63056379681815,60.21412960047698,0.4803896,False,False,False
ENSG00000011454,RABGAP1,154,-43.12814552101677,31.634903799462254,0.2864084,False,False,False
ENSG00000011478,QPCTL,128,-17.940685087841608,15.178871507749642,0.00089896,False,False,False
ENSG00000011485,PPP5C,180,-26.095023521228853,38.51549513581627,0.1600613,False,False,False
ENSG00000011523,CEP68,186,57.68948333888192,9.408610401290678,0.00816918,False,False,False
ENSG00000011566,MAP4K3,67,-40.18621517591406,5.658306494493193,0.05890122,False,False,False
ENSG00000011590,ZBTB32,541,207.02696107500424,181.29311144089448,0.11653776,False,False,False
ENSG00000011638,LDAF1,62,-29.3118298520498,3.677247929902746,0.00140212,False,False,False
ENSG00000012048,BRCA1,258,35.340921927682885,45.25132559585418,0.00458282,False,False,False
ENSG00000012061,ERCC1,240,9.947872245143024,52.584051667582294,0.00524362,False,False,False
ENSG00000012211,PRICKLE3,56,-77.56567151956527,10.652747990323947,0.0188872,False,False,False
ENSG00000012232,EXTL3,111,-53.07317291420613,19.57748652748047,0.03839165,False,False,False
ENSG00000012660,ELOVL5,235,-116.54925913504638,159.36201384653208,0.12428981,False,False,False
ENSG00000012779,ALOX5,154,81.60841109820566,2.56021024223805,0.02034572,False,False,False
ENSG00000012817,KDM5D,58,-64.10386299607276,8.11432919124514,,False,False,False
ENSG00000012822,CALCOCO1,297,171.13456304051056,10.250107308163155,0.02157701,False,False,False
ENSG00000012963,UBR7,197,-43.306651285300546,55.2335402591234,0.04377531,False,False,False
ENSG00000012983,MAP4K5,187,-16.750142275400997,38.73343319813559,0.07070226,False,False,False
ENSG00000013016,EHD3,103,12.499241058043658,3.4489088243077366,0.017152,False,False,False
ENSG00000013288,MAN2B2,195,30.960112716191425,19.77836596883234,0.00029598,False,False,False
ENSG00000013306,SLC25A39,356,34.19554736997996,131.73013786491853,0.00231041,False,False,True
ENSG00000013364,MVP,295,97.87395864926305,32.550627172662054,0.00698328,False,False,False
ENSG00000013374,NUB1,335,103.20248644279623,51.103871908364276,0.00903154,False,False,False
ENSG00000013392,RWDD2A,59,-24.969291219200375,3.0102186550729773,0.00232361,False,False,False
ENSG00000013441,CLK1,542,256.0081031822643,89.75298260499943,0.02132557,False,False,True
ENSG00000013523,ANGEL1,147,-20.970099952129637,20.75717614794346,0.00294163,False,False,False
ENSG00000013561,RNF14,152,-48.62523942068101,33.39499445528328,0.01171663,False,False,False
ENSG00000013563,DNASE1L1,151,-4.509010203974505,16.662533991192355,0.04368289,False,False,False
ENSG00000013583,HEBP1,97,-32.83793909555888,9.881164220553703,0.00087907,False,False,False
ENSG00000013619,MAMLD1,223,85.07246141114265,13.498357515610396,0.22724087,False,False,False
ENSG00000013725,CD6,380,11.992896695029188,205.10973956023142,0.00628799,False,False,False
ENSG00000013810,TACC3,535,117.62663659316965,255.9355274717111,0.00752626,False,False,False
ENSG00000014123,UFL1,72,-85.35859268349876,16.818478911184275,0.00262418,False,False,False
ENSG00000014138,POLA2,243,1.9146077131688912,56.47271177264723,0.01917396,False,True,False
ENSG00000014164,ZC3H3,126,-73.74663516186354,32.85103382098037,0.04958517,False,False,False
ENSG00000014216,CAPN1,336,59.96335350147166,84.76144775397401,0.02405162,False,False,False
ENSG00000014641,MDH1,121,-94.31642314178156,41.14569559976094,0.07683093,False,False,False
ENSG00000014824,SLC30A9,218,-37.61534804048648,67.71721123309644,0.02216032,False,False,True
ENSG00000014914,MTMR11,18,-23.441770867526635,0.3815212936008963,0.00157473,False,False,False
ENSG00000014919,COX15,110,-122.49801013509143,50.54278892344407,0.00126263,False,True,False
ENSG00000015133,CCDC88C,255,-30.839703951447703,90.41196580256651,0.02626648,False,False,False
ENSG00000015153,YAF2,144,-73.79964596831677,41.93231243066352,0.13869852,False,False,False
ENSG00000015171,ZMYND11,232,7.2502004431038785,48.36143108883024,0.53095911,False,False,False
ENSG00000015285,WAS,280,-34.43426344129308,117.57338980521814,0.49806752,False,False,False
ENSG00000015475,BID,223,43.09476061776154,25.73965634917889,0.00069817,False,False,False
ENSG00000015532,XYLT2,276,48.56979358520625,52.11235090700822,0.07237043,False,False,False
ENSG00000015676,NUDCD3,146,-86.38386472758178,50.955602821203044,0.05720527,False,True,False
ENSG00000016391,CHDH,186,99.54199766148407,4.13556022144719,0.00080417,False,False,False
ENSG00000016864,GLT8D1,103,-81.2484018590026,26.27688786316061,0.00446348,False,False,False
ENSG00000017260,ATP2C1,214,-78.33900248782105,96.51792285144072,0.10865899,False,False,True
ENSG00000017483,SLC38A5,474,196.37796364967204,101.63100060186446,0.19833288,False,False,True
ENSG00000017797,RALBP1,152,-103.74255572972297,66.00582086810746,0.07931678,False,False,False
ENSG00000018189,RUFY3,131,28.02614970640331,4.938573546534594,0.03469691,False,False,False
ENSG00000018408,WWTR1,76,33.61229228532261,0.42740866334810673,0.12640496,False,False,False
ENSG00000018510,AGPS,242,-90.99025492489143,142.49631292391263,0.27543009,False,False,False
ENSG00000018610,STEEP1,119,-96.31578674488762,41.97808091869662,0.50743461,False,False,False
