gene_id,gene_name,nreg_Rest,resid_Rest,nreg_Stim8hr,resid_Stim8hr,nreg_Stim48hr,resid_Stim48hr,nreg_total,resid_total,baseMean,ess_hart,ess_cegv2,noness_negv1,shet
ENSG00000005448,WDR54,67,7.996666981634149,76,16.96224372036626,108,3.683528328368652,251,28.64243903036906,54.311536114853844,False,False,False,0.00302452
ENSG00000005469,CROT,28,-17.1081812931835,58,12.569783464637254,23,-14.13866557238618,109,-18.677063400932425,9.696428773746636,False,False,False,0.00031098
ENSG00000005483,KMT2E,131,42.805546501810554,139,38.14319444199238,224,118.7309639004879,494,199.67970484429082,97.37267504538269,False,False,False,0.48329357
ENSG00000005486,RHBDD2,57,18.037769391100312,80,18.94020104915804,42,0.44261982590469273,179,37.420590266163046,12.48051392066519,False,False,False,0.04282391
ENSG00000005700,IBTK,39,-41.6016795989524,53,-58.55927823599018,51,-54.60411707506924,143,-154.76507491001183,103.4043361646125,False,False,False,0.03808805
ENSG00000005801,ZNF195,24,-24.411547160920144,32,-40.92567081191342,17,-34.457485291049764,73,-99.79470326388333,22.11073479149237,False,False,False,0.01146332
ENSG00000005810,MYCBP2,42,-14.331409724583217,45,-29.79470579282868,33,-19.56760772882796,120,-63.693723246239855,26.100136650775987,False,False,False,0.19744149
ENSG00000005812,FBXL3,71,-21.519835632022662,106,0.8684579207028662,56,-39.48457465258113,233,-60.13595236390093,96.97378869226948,False,False,False,0.27040694
ENSG00000005844,ITGAL,163,22.70352910237898,182,51.853196133546504,192,66.14240306267243,537,140.6991282985979,229.91318105988003,False,False,False,0.03670752
ENSG00000005882,PDK2,61,1.3607053993860703,103,45.87909482729831,75,32.718239680098826,239,79.9580399067832,18.178210325279473,False,False,False,0.01074887
ENSG00000005884,ITGA3,26,-6.700696566608407,39,-8.540205568027524,51,19.452559770412268,116,4.211657635776337,6.288909236521581,False,False,False,0.03217701
ENSG00000005889,ZFX,21,-35.687748559012256,31,-43.08335337573969,20,-32.57919016642423,72,-111.3502921011762,25.91785215724622,False,False,False,0.58157996
ENSG00000005893,LAMP2,104,10.597283363275267,130,30.705763528945823,107,12.0112670393451,341,53.31431393156619,91.57198974907361,False,False,False,0.07891515
ENSG00000005961,ITGA2B,1,-7.369222170251387,1,-14.47536702225067,5,-5.429319755402929,7,-27.273908947904985,0.25696624389275613,False,False,False,0.01082003
ENSG00000006007,GDE1,97,33.61289217408837,72,-11.994333840996717,62,-10.49912317421061,231,11.119435158881046,43.27882506560667,False,False,False,0.00541901
ENSG00000006025,OSBPL7,17,-14.586823996417678,25,-9.922207829277127,17,-4.806824870429434,59,-29.31585669612424,3.3719293570590403,False,False,False,0.04268409
ENSG00000006042,TMEM98,9,-4.8078895023366925,12,-7.98223886879525,34,19.892985381917864,55,7.102857010785922,0.6268506288898941,False,False,False,0.01981842
ENSG00000006062,MAP3K14,25,-6.3600981520134745,58,-10.205396911310444,27,-7.207645774917971,110,-23.77314083824189,11.780809585251761,False,False,False,
ENSG00000006125,AP2B1,51,-23.255208140961457,103,18.57457374394737,33,-49.28818874041585,187,-53.968823137429936,55.635211963867604,False,False,False,0.15734093
ENSG00000006194,ZNF263,39,-12.57143466797023,76,-1.843988392112152,28,-24.33444411406385,143,-38.74986717414623,25.75768981617207,False,False,False,0.01017258
ENSG00000006282,SPATA20,47,11.423223737298159,60,7.580872774891915,71,25.70673855322169,178,44.710835065411764,10.828880505615524,False,False,False,0.00113717
ENSG00000006327,TNFRSF12A,6,-7.590309615861608,36,10.981610051603273,9,-11.853279840981099,51,-8.461979405239434,1.2749138669993794,False,False,False,0.05697735
ENSG00000006432,MAP3K9,18,-12.328307695981138,34,-7.196607866369014,30,0.4026733184317983,82,-19.122242243918354,4.798617809005134,False,False,False,0.05512385
