gene_id,gene_name,n_regulators,resid_responsiveness,my_gene_response,essential_hart,shet
ENSG00000175054,ATR,95.0,-96.36967343254744,64.0,False,0.03833555
ENSG00000175063,UBE2C,114.0,-48.43960916500841,74.0,False,0.02280389
ENSG00000175066,GK5,144.0,-31.734113750761594,93.0,False,0.01861763
ENSG00000175073,VCPIP1,228.0,-31.23396987435197,140.0,False,0.32432345
ENSG00000175087,PDIK1L,90.0,-101.79747575922539,57.0,False,0.06758301
ENSG00000175104,TRAF6,46.0,-73.52328345595117,31.0,False,0.18290145
ENSG00000175106,TVP23C,66.0,-10.754740048170365,44.0,False,0.0013573
ENSG00000175115,PACS1,296.0,25.70709898427178,217.0,False,0.19044754
ENSG00000175130,MARCKSL1,280.0,117.39387961438676,172.0,False,0.01649025
ENSG00000175137,SH3BP5L,159.0,-58.0615015689077,94.0,False,0.03985086
ENSG00000175155,YPEL2,256.0,92.43273113977995,170.0,False,0.39385247
ENSG00000175166,PSMD2,211.0,-51.56653729816503,139.0,False,0.25408563
ENSG00000175182,FAM131A,101.0,-0.2440087560688795,72.0,False,0.05028524
ENSG00000175193,PARL,284.0,-9.826829756788115,191.0,False,0.00393941
ENSG00000175197,DDIT3,550.0,381.7807012975973,318.0,False,0.04052132
ENSG00000175198,PCCA,205.0,55.148075103787185,136.0,False,0.00258804
ENSG00000175203,DCTN2,249.0,-49.175619155290576,164.0,False,0.09611079
ENSG00000175213,ZNF408,47.0,-74.50450364402377,23.0,False,0.00749783
ENSG00000175215,CTDSP2,198.0,42.250650929360724,129.0,False,0.04500534
ENSG00000175216,CKAP5,230.0,-81.31737958539348,148.0,False,0.19787299
ENSG00000175220,ARHGAP1,220.0,-54.88674303750642,124.0,False,0.03902754
ENSG00000175221,MED16,75.0,-73.30925087544736,52.0,False,0.00324655
ENSG00000175224,ATG13,98.0,-61.14588774251723,69.0,False,0.09215746
ENSG00000175279,CENPS,200.0,5.908856951939157,137.0,False,0.00123435
ENSG00000175283,DOLK,92.0,-45.07321393212301,55.0,False,0.01891532
ENSG00000175305,CCNE2,207.0,7.460532361913302,133.0,False,0.07489122
ENSG00000175309,PHYKPL,190.0,0.6140610865244582,121.0,False,0.00031044
ENSG00000175315,CST6,152.0,74.71762352382765,96.0,False,0.01351506
ENSG00000175322,ZNF519,113.0,-50.202831884905976,80.0,False,0.00086669
ENSG00000175324,LSM1,253.0,-79.37714896666658,166.0,False,0.02480136
ENSG00000175334,BANF1,229.0,-19.840699487092834,151.0,False,0.27081263
ENSG00000175348,TMEM9B,224.0,-41.94523921070032,138.0,False,0.12688312
ENSG00000175352,NRIP3,93.0,6.9638763428446495,70.0,False,0.0034659
ENSG00000175354,PTPN2,78.0,-107.39461802492502,54.0,False,0.18984518
ENSG00000175376,EIF1AD,82.0,-129.8659156630217,45.0,False,0.00473461
ENSG00000175387,SMAD2,361.0,-3.6082648216281683,244.0,False,0.14293545
ENSG00000175390,EIF3F,250.0,-34.58335627656487,160.0,True,0.10972909
ENSG00000175395,ZNF25,133.0,-20.370371472420302,90.0,False,0.00243328
ENSG00000175414,ARL10,157.0,18.305443192430907,94.0,False,0.00270762
ENSG00000175416,CLTB,126.0,-120.7406144970865,92.0,False,0.06472823
ENSG00000175449,RFESD,24.0,-47.71949007090679,18.0,False,0.0005787
ENSG00000175455,CCDC14,125.0,-57.81292731655041,89.0,False,0.00142815
ENSG00000175463,TBC1D10C,468.0,128.3081100604778,301.0,False,0.0317208
ENSG00000175470,PPP2R2D,118.0,-128.37424557604845,71.0,False,0.10078885
ENSG00000175482,POLD4,310.0,120.24803519459422,198.0,False,0.00409096
ENSG00000175505,CLCF1,82.0,33.74567821024982,53.0,False,0.25062924
ENSG00000175536,LIPT2,17.0,-35.383929729506065,12.0,False,0.00459247
ENSG00000175544,CABP4,67.0,14.729150694781122,38.0,False,0.00053677
ENSG00000175550,DRAP1,619.0,165.3291009480177,387.0,False,0.03674002
ENSG00000175556,LONRF3,33.0,-13.472886987090952,23.0,False,0.12367722
ENSG00000175564,UCP3,135.0,59.76228765161045,82.0,False,0.00035036
ENSG00000175567,UCP2,590.0,30.35081369291308,392.0,False,0.0018448
ENSG00000175573,C11orf68,294.0,108.61616773922168,188.0,False,0.00774012
ENSG00000175575,PAAF1,120.0,-62.25711152129867,76.0,False,0.0021976
ENSG00000175582,RAB6A,245.0,-71.51723280361117,154.0,False,0.19180372
ENSG00000175592,FOSL1,207.0,56.755105467339696,139.0,False,0.04930857
ENSG00000175595,ERCC4,73.0,-77.44162227999513,42.0,False,0.00767296
ENSG00000175602,CCDC85B,388.0,85.6199723900543,232.0,False,0.09016289
ENSG00000175606,TMEM70,220.0,-14.507149200459352,139.0,False,0.00300119
ENSG00000175643,RMI2,210.0,50.503525023254646,145.0,False,0.00294223
ENSG00000175662,TOM1L2,207.0,56.023989742251764,136.0,False,0.03593826
ENSG00000175691,ZNF77,56.0,-24.595937974021314,45.0,False,0.00130135
ENSG00000175711,B3GNTL1,51.0,-42.56490972211948,30.0,False,0.00020793
ENSG00000175727,MLXIP,74.0,-71.10784952631084,54.0,False,0.08913303
ENSG00000175756,AURKAIP1,141.0,-129.53518941467712,87.0,False,0.00173646
ENSG00000175764,TTLL11,64.0,-36.052069444657434,42.0,False,0.01157096
ENSG00000175768,TOMM5,535.0,164.63258533605375,353.0,False,0.06300246
ENSG00000175779,LINC02694,346.0,207.97828436294554,216.0,False,0.00200733
ENSG00000175782,SLC35E3,141.0,-17.37832082890904,84.0,False,0.00053285
ENSG00000175787,ZNF169,43.0,-55.69934550593433,28.0,False,0.00056261
ENSG00000175792,RUVBL1,528.0,197.52096945387854,347.0,True,0.22545128
ENSG00000175793,SFN,20.0,-22.072492002028017,14.0,False,0.04766273
ENSG00000175806,MSRA,188.0,32.16692442378527,119.0,False,0.00082108
ENSG00000175826,CTDNEP1,25.0,-125.33247317262715,20.0,True,0.42150434
ENSG00000175854,SWI5,120.0,-33.924084393499115,80.0,False,0.00218138
ENSG00000175866,BAIAP2,98.0,17.77190078952569,64.0,False,0.06498204
ENSG00000175893,ZDHHC21,127.0,-32.27631183421671,90.0,False,0.03427456
